title;year;rating;studio;duration;must_see;metascore;user_score;number_critics;number_users;genre;director;writer;summary
Y Tu Mamá También;2002;R;MGM Home Entertainment;1 h 46 m;True;89;6.5;36;219.0;Drama;Alfonso Cuarón;Carlos Cuarón, Alfonso Cuarón;Abandoned by their girlfriends for the summer, two teenagers meet an exotic older woman at a wedding, and they embark on a road trip together.
For Sama;2019;TV-PG;Public Broadcasting Service (PBS);1 h 40 m;True;89;7.7;19;31.0;Documentary, Biography, War;Waad Al-Kateab, Edward Watts;;"For Sama  is both an intimate and epic journey into the female experience of war. A love letter from a young mother to her daughter, the film tells the story of Waad al-Kateab’s life through five years of the uprising in Aleppo, Syria as she falls in love, gets married and gives birth to Sama, all while cataclysmic conflict rises around her. Her camera captures incredible stories of loss, laughter and survival as Waad wrestles with an impossible choice– whether or not to flee the city to protect her daughter’s life, when leaving means abandoning the struggle for freedom for which she has already sacrificed so much.

."
Force of Evil;1949;Approved;Metro-Goldwyn-Mayer (MGM);1 h 19 m;False;89;8.4;10;5.0;Crime, Drama, Film-Noir;Abraham Polonsky;Ira Wolfert, Abraham Polonsky;An unethical lawyer, with an older brother he wants to help, becomes a partner with a client in the numbers racket.
White Heat;1949;Approved;Warner Bros.;1 h 54 m;True;89;8.5;21;;Action, Crime, Drama, Film-Noir;Raoul Walsh;Ivan Goff, Ben Roberts, Virginia Kellogg;A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
The Hidden Fortress;1960;Not Rated;Albex;2 h 19 m;True;89;8.3;16;15.0;Action, Adventure, Drama;Akira Kurosawa;Ryûzô Kikushima, Hideo Oguni, Shinobu Hashimoto, Akira Kurosawa;Lured by gold, two greedy peasants escort a man and woman across enemy lines. However, they do not realize that their companions are actually a princess and her general.
Elle;2016;R;Sony Pictures Classics;2 h 10 m;True;89;7.2;36;262.0;Crime, Drama, Thriller;Paul Verhoeven;Philippe Djian, David Birke;Michèle seems indestructible. Head of a successful video game company, she brings the same ruthless attitude to her love life as to business. Being attacked in her home by an unknown assailant changes Michèle's life forever. When she resolutely tracks the man down, they are both drawn into a curious and thrilling game-a game that may, at any moment, spiral out of control..
Still Walking;2009;Not Rated;IFC Films;1 h 55 m;True;89;8.4;21;45.0;Drama;Hirokazu Koreeda;Hirokazu Koreeda;Fifteen years ago, Junpei, the youngest son of the Yokoyama family died while rescuing a boy from drowning. On the anniversary of his death, the remaining siblings visit the quaint home of their parents with their families in tow. Over the course of a beautiful day, new relatives become acquainted telling stories and squabbling over sizzling tempura and an elegant graveside ritual is performed for Junpei. (IFC Films).
Gangs of Wasseypur;2015;Not Rated;Cinelicious Pics;5 h 21 m;False;89;8.5;10;75.0;Action, Comedy, Crime, Drama, Thriller;Anurag Kashyap;Akhilesh Jaiswal, Sachin K. Ladia, Zeishan Quadri, Anurag Kashyap;Gangs of Wasseypur charts seventy years in the lives – and spectacular deaths – of two mafia-like families fighting for control of the coal-mining town of Wasseypur, India. Inspired by the real-life exploits of local gangs and beginning with the bandit-like career of Shahid Khan (Jaideep Ahlawat) in the 1940s, the film follows the ruthless rise of his son Sardar (Manoj Bajpayee) and his offspring Faizal (Nawazuddin Siddiqui), Danish, Perpendicular and Definitive and their their longtime nemesis, the wily and seemingly unstoppable Ramadhir Singh (Tigmanshu Dhulia). [Cinelicious Pics].
Thelma & Louise;1991;R;Metro-Goldwyn-Mayer (MGM);2 h 10 m;False;89;8.1;13;197.0;Adventure, Crime, Drama;Ridley Scott;Callie Khouri;Director Ridley Scott's infamous feminist road movie.
After Hours;1985;R;Geffen Pictures;1 h 37 m;False;89;8.0;9;140.0;Comedy, Crime, Drama, Thriller;Martin Scorsese;Joseph Minion;A Manhattan Yuppie's night out becomes a comic nightmare. (Warner Bros.)
When the Levees Broke: A Requiem in Four Acts;2006;TV-MA;Home Box Office (HBO);4 h 15 m;True;89;6.0;16;5.0;Documentary;Spike Lee;;An examination of the U.S. government's response to Hurricane Katrina.
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;2006;R;Twentieth Century Fox;1 h 24 m;True;89;7.9;38;609.0;Comedy;Larry Charles;Sacha Baron Cohen, Anthony Hines, Peter Baynham, Dan Mazer, Todd Phillips;The movie film is a government assigned project to   broaden and enlight people and glory of nation. Cultural   learning is emportant to follow on global basis. We make our nation a better and more convenient place for house and living.  Kazakhs are progressive and asstonishing people that with conclusion of project will have new optimistic approach in daily life in world of same people. Our film will bring the US & A closer to us.   We help with needs of kazakh  knowledge and  Us&a culture is positive step for future  of our  glorious nation.  (20th Century Fox).
Minari;2020;PG-13;A24;1 h 55 m;True;89;8.0;49;212.0;Drama;Lee Isaac Chung;Lee Isaac Chung;A tender and sweeping story about what roots us, Minari follows a Korean-American family that moves to a tiny Arkansas farm in search of their own American Dream. The family home changes completely with the arrival of their sly, foul-mouthed, but incredibly loving grandmother. Amidst the instability and challenges of this new life in the rugged Ozarks, Minari shows the undeniable resilience of family and what really makes a home. [A24].
Barry Lyndon;1975;PG;Warner Bros.;3 h 5 m;True;89;8.5;21;114.0;Adventure, Drama, War;Stanley Kubrick;William Makepeace Thackeray, Stanley Kubrick;An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
Funny Girl;1968;G;Columbia Pictures;2 h 31 m;True;89;7.4;15;34.0;Biography, Comedy, Drama, Musical, Romance;William Wyler;Isobel Lennart;A re-release of Barbra Streisand's 1968 film debut in the reprisal of her Broadway role as Ziegfeld star Fanny Brice.
The Farewell;2019;PG;A24;1 h 40 m;True;89;8.2;47;252.0;Comedy, Drama;Lulu Wang;Lulu Wang;Chinese-born, U.S.-raised Billi (Awkwafina) reluctantly returns to Changchun to find that, although the whole family knows their beloved matriarch, Nai-Nai, has been given mere weeks to live, everyone has decided not to tell Nai Nai herself. To assure her happiness, they gather under the joyful guise of an expedited wedding, uniting family members scattered among new homes abroad. As Billi navigates a minefield of family expectations and proprieties, she finds there’s a lot to celebrate: a chance to rediscover the country she left as a child, her grandmother’s wondrous spirit, and the ties that keep on binding even when so much goes unspoken. [A24].
The Tale of The Princess Kaguya;2014;PG;GKIDS;2 h 17 m;True;89;8.5;28;264.0;Animation, Drama, Family, Fantasy, Romance;Isao Takahata;Riko Sakaguchi, Isao Takahata;Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her – but ultimately she must confront her fate, the punishment for her crime. [Gkids]
Uncertain;2017;;;1 h 22 m;False;89;6.8;7;5.0;Documentary, Comedy, Drama;Ewan McNicol, Anna Sandilands;Ewan McNicol, Anna Sandilands;"Uncertain is a visually stunning and disarmingly funny portrait of the literal and figurative troubled waters of Uncertain, Texas. In a 94-resident town so tucked away “you’ve got to be lost to find it"", three Uncertain men make their own bids for survival looking to find a more certain future. An ex-convict obsessed with Mr. Ed, a gigantic boar he hunts in order to stay on the straight and narrow. A young idealist with big plans but few prospects is looking for a bigger life. An aging fisherman learning to let go of his youthful ways, and making peace with a fateful moment thirty years ago. All the while Uncertain’s vast, swampy lake is being choked by an aquatic weed, upsetting the natural balance and the town’s only source of livelihood.."
Captain Blood;1935;Approved;Warner Bros.;1 h 59 m;True;89;7.5;15;11.0;Action, Adventure, History, Romance;Michael Curtiz;Rafael Sabatini, Casey Robinson;After being wrongly convicted as a traitor, Peter Blood, an English physician, is sent to exile in the British colonies of the Caribbean, where he becomes a pirate.
Great Freedom;2022;Unrated;MUBI;1 h 56 m;True;89;6.1;18;30.0;Drama;Sebastian Meise;Thomas Reider, Sebastian Meise;In post-war Germany, liberation by the Allies does not mean freedom for everyone. Hans is imprisoned again and again under Paragraph 175, a law criminalizing homosexuality. Over the course of decades, he develops an unlikely yet tender bond with his cellmate Viktor, a convicted murderer.
A Star Is Born;1954;Approved;Warner Bros.;2 h 34 m;False;89;8.2;9;30.0;Drama, Musical, Romance;George Cukor;Moss Hart, Dorothy Parker, Alan Campbell, Robert Carson, William A. Wellman;A film star helps a young singer and actress find fame, even as age and alcoholism send his own career on a downward spiral.
No End in Sight;2007;Not Rated;Magnolia Pictures;1 h 42 m;True;89;8.5;28;15.0;Documentary, War;Charles Ferguson;Charles Ferguson;The first film of its kind to chronicle the reasons behind Iraq’s descent into guerrilla war, warlord rule, criminality and anarchy, No End in Sight is a jaw-dropping, insider’s tale of wholesale incompetence, recklessness and venality. Based on over 200 hours of footage, the film provides a candid retelling of the events following the fall of Baghdad in 2003 by high ranking officials such as former Deputy Secretary of State Richard Armitage, Ambassador Barbara Bodine (in charge of Baghdad during the Spring of 2003), Colonel Lawrence Wilkerson, former Chief of Staff to Colin Powell, and General Jay Garner (in charge of the occupation of Iraq through May 2003), as well as Iraqi civilians, American soldiers and prominent analysts. No End in Sight examines the manner in which the principal errors of U.S. policy – the use of insufficient troop levels, allowing the looting of Baghdad, the purging of professionals from the Iraqi government and the disbanding of the Iraqi military – largely created the insurgency and chaos that engulf Iraq today. (Magnolia Pictures).
It's a Wonderful Life;1947;PG;RKO Radio Pictures;2 h 10 m;True;89;8.5;17;213.0;Drama, Family, Fantasy, Romance;Frank Capra;Frances Goodrich, Albert Hackett, Jo Swerling, Philip Van Doren Stern, Michael Wilson, Frank Capra;An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
The Madness of King George;1994;PG-13;The Samuel Goldwyn Company;1 h 50 m;True;89;7.5;19;13.0;Biography, Comedy, Drama, History;Nicholas Hytner;Alan Bennett;When King George III goes mad, his lieutenants try to adjust the rules to run the country without his participation.
Phoenix;2015;PG-13;Sundance Selects;1 h 38 m;True;89;7.8;30;100.0;Drama, History, Music, Romance;Christian Petzold;Harun Farocki, Hubert Monteilhet, Christian Petzold;Nelly (Nina Hoss), a German-Jewish nightclub singer, has survived a concentration camp, but with her face disfigured by a bullet wound. After reconstructive surgery, Nelly emerges with a new face, one similar but different enough that her former husband, Johnny (Ronald Zehrfeld), doesn’t recognize her. Rather than reveal herself, Nelly walks into a dangerous game of duplicity and disguise as she tries to figure out if the man she loves may have betrayed her to the Nazis. [IFC Films].
Goodbye Solo;2009;R;Roadside Attractions;1 h 31 m;True;89;7.0;25;16.0;Drama;Ramin Bahrani;Bahareh Azimi, Ramin Bahrani;On the lonely roads of Winston-Salem, North Carolina, two men forge an improbable friendship that will change both of their lives forever. Solo is a Senegalese cab driver working to provide a better life for his young family. William is a tough Southern good ol‘ boy with a lifetime of regrets. One man‘s American dream is just beginning, while the other‘s is quickly winding down. But despite their differences, both men soon realize they need each other more than either is willing to admit. Through this unlikely but unforgettable friendship, Goodbye Solo deftly explores the passing of a generation as well as the rapidly changing face of America. (Roadside Attractions).
Gunda;2020;G;Neon;1 h 33 m;True;89;7.3;26;22.0;Documentary;Victor Kossakovsky;Ainara Vera, Victor Kossakovsky;"Experiential cinema in its purest form, Gunda chronicles the unfiltered lives of a mother pig, a flock of chickens, and a herd of cows with masterful intimacy. Using stark, transcendent black and white cinematography and the farm's ambient soundtrack, director Victor Kossakowsky invites the audience to slow down and experience life as his subjects do, taking in their world with a magical patience and an other worldly perspective. Gunda asks us to meditate on the mystery of animal consciousness, and reckon with the role humanity plays in it. [Neon]
."
Western;2015;Not Rated;Netflix;1 h 32 m;False;89;6.7;7;15.0;Documentary, Western;Bill Ross IV, Turner Ross;;For generations, all that distinguished Eagle Pass, TX, from Piedras Negras, MX, was the Rio Grande. But when darkness descends upon these harmonious border towns, a cowboy and lawman face a new reality that threatens their way of life.
The Power of the Dog;2021;R;Netflix;2 h 6 m;True;89;6.5;58;421.0;Drama, Western;Jane Campion;Thomas Savage, Jane Campion;Charismatic rancher Phil Burbank (Benedict Cumberbatch) inspires fear and awe in those around him. When his brother (Jesse Plemons) brings home a new wife (Kirsten Dunst) and her son (Kodi Smit-McPhee), Phil torments them until he finds himself exposed to the possibility of love.
Mr. Bachmann and His Class;2022;;Grandfilm;3 h 37 m;False;89;7.3;10;6.0;Documentary;Maria Speth;Tina Kaiser, Reinhold Vorschneider, Maria Speth;In a German city with a complex history of both excluding and integrating foreigners, a charismatic elementary school teacher provides his pupils, who all come from different countries originally, with the key to feeling at home in Germany and becoming citizens of the world. [MUBI]
Downhill Racer;1969;M;Paramount Pictures;1 h 41 m;True;89;8.0;15;6.0;Drama, Sport;Michael Ritchie;James Salter, Oakley Hall;Quietly cocky David Chappellet (Robert Redford) joins the U.S. ski team as downhill racer and clashes with the team's coach, played by Gene Hackman.
Deep Red;1976;R;Howard Mahler Films;2 h 7 m;False;89;7.2;7;38.0;Horror, Mystery, Thriller;Dario Argento;Bernardino Zapponi, Dario Argento;After witnessing the murder of a famous psychic, a musician teams up with a feisty reporter to find the killer while evading attempts on their lives by the unseen assailant bent on keeping a dark secret buried.
Alien;1979;TV-MA;Twentieth Century Fox;1 h 57 m;True;89;9.0;34;1.0;Horror, Sci-Fi;Ridley Scott;Dan O'Bannon, Ronald Shusett;For the first time in nearly a quarter-century, Alien returns to the big screen with a digitally remastered special edition of director Ridley Scott's science fiction/horror classic. [Fox]
Columbus;2017;Not Rated;Oscilloscope;1 h 44 m;True;89;7.3;27;111.0;Drama;Kogonada;Kogonada;When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin (John Cho) finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey (Haley Lu Richardson), a young architecture enthusiast who works at the local library. As their intimacy develops, Jin and Casey explore both the town and their conflicted emotions: Jin's estranged relationship with his father, and Casey's reluctance to leave Columbus and her mother..
Night of the Living Dead;1968;R;Continental Distributing;1 h 36 m;True;89;8.1;17;112.0;Horror, Thriller;George A. Romero;John A. Russo, George A. Romero;There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these flesh eating monsters.
The Artist;2011;PG-13;The Weinstein Company;1 h 40 m;True;89;8.1;41;636.0;Comedy, Drama, Romance;Michel Hazanavicius;Michel Hazanavicius;Hollywood 1927. George Valentin is a silent movie superstar. The advent of the talkies will sound the death knell for his career and see him fall into oblivion. For young extra Peppy Miller, it seems the sky's the limit - major movie stardom awaits. The Artist tells the story of their interlinked destinies. [The Weinstein Company]
Yankee Doodle Dandy;1942;Approved;Warner Bros.;2 h 6 m;False;89;7.8;10;5.0;Biography, Drama, Family, Music, Musical;Michael Curtiz;Robert Buckner, Edmund Joseph, Julius J. Epstein, Philip G. Epstein;The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan.
Foreign Correspondent;1940;Approved;United Artists;;True;89;7.8;18;10.0;Action, Romance, Thriller, War;Alfred Hitchcock;Charles Bennett, Joan Harrison, James Hilton, Robert Benchley, Ben Hecht, Richard Maibaum;On the eve of WW2, a young American reporter tries to expose enemy agents in London.
Zama;2018;Unrated;Strand Releasing;1 h 55 m;True;89;7.3;26;43.0;Drama, History;Lucrecia Martel;Antonio Di Benedetto, Lucrecia Martel;Zama, an officer of the Spanish Crown born in South America, waits for a letter from the King granting him a transfer from the town in which he is stagnating, to a better place. His situation is delicate. He must ensure that nothing overshadows his transfer. He is forced to accept submissively every task entrusted to him by successive Governors who come and go as he stays behind. The years go by and the letter from the King never arrives. When Zama notices everything is lost, he joins a party of soldiers that go after a dangerous bandit. [Strand Releasing].
Of Mice and Men;1940;Passed;United Artists;1 h 46 m;False;89;7.5;7;;Adventure, Drama;Lewis Milestone;John Steinbeck, Eugene Solow;Two itinerant migrant workers, one mentally disabled and the other his carer, take jobs as ranch hands during the Great Depression to fulfill their shared dream of owning their own ranch.
The Piano;1993;R;Miramax;2 h 1 m;True;89;7.9;20;118.0;Drama, Music, Romance;Jane Campion;Jane Campion;A seemingly mute woman (Hunter) is sent to New Zealand together with her daughter and her beloved piano, for an arranged marriage.
Eternal Sunshine of the Spotless Mind;2004;R;Focus Features;1 h 48 m;True;89;8.7;41;1.0;Drama, Romance, Sci-Fi;Michel Gondry;Charlie Kaufman, Pierre Bismuth, Michel Gondry;Joel (Carrey) is stunned to discover that his girlfriend Clementine (Winslet) has had her memories of their tumultuous relationship erased.  Out of desperation, he contacts the inventor of the process, Dr. Howard Mierzwiak (Wilkinson), to have Clementine removed from his own memory.  But as Joel's memories progressively disappear, he begins to rediscover his love for Clementine.  (Focus Features).
Dead Souls;2018;;Icarus Films;8 h 15 m;False;89;tbd;9;;Documentary, History;Wang Bing;Wang Bing;In Gansu Province, northwest China, lie the remains of countless prisoners abandoned in the Gobi Desert sixty years ago. Designated as “ultra-rightists” in the Communist Party’s Anti-Rightist campaign of 1957, they starved to death in the Jiabiangou and Mingshui reeducation camps. The film invites us to meet the survivors of the camps to find out firsthand who these persons were, the hardships they were forced to endure and what became their destiny. [Cannes].
Cameraperson;2016;Not Rated;Janus Films;1 h 42 m;True;89;6.4;21;16.0;Documentary, Biography, History, News, War;Kirsten Johnson;Doris Baizley, Lisa Freedman;"A boxing match in Brooklyn; life in postwar Bosnia and Herzegovina; the daily routine of a Nigerian midwife; an intimate family moment at home: these scenes and others are woven into Cameraperson, a tapestry of footage collected over the twenty-five-year career of documentary cinematographer Kirsten Johnson. Through a series of episodic juxtapositions, Johnson explores the relationships between image makers and their subjects, the tension between the objectivity and intervention of the camera, and the complex interaction of unfiltered reality and crafted narrative. A hybrid work that combines documentary, autobiography, and ethical inquiry, Cameraperson is both a moving glimpse into one filmmaker’s personal journey and a thoughtful examination of what it means to train a camera on the world. [Janus Films]."
The Mother and the Whore;1973;;New Yorker Films;3 h 37 m;True;89;tbd;18;;Drama, Romance;Jean Eustache;Jean Eustache;The chauvinist Alexandre balances relationships with several women, including the maternal Marie and the sexually liberated Veronika, in the post-1968 intellectual scene of Paris.
Dick Johnson Is Dead;2020;PG-13;The Criterion Collection;1 h 29 m;True;89;7.3;28;45.0;Documentary, Biography, Drama;Kirsten Johnson;Nels Bangerter, Kirsten Johnson;A lifetime of making documentaries has convinced the award-winning filmmaker Kirsten Johnson of the power of the real. But now she's ready to use every escapist movie-making trick in the book - staging inventive and fantastical ways for her 86-year-old psychiatrist father to die while hoping that cinema might help her bend time, laugh at pain, and keep her father alive forever..
Piccadilly [re-release];2004;Passed;Sono Art-World Wide Pictures;1 h 32 m;False;89;tbd;7;;Crime, Drama;Ewald André Dupont;Arnold Bennett;E.A. (Varieté) Dupont's Piccadilly, the 1929 silent masterpiece brilliantly restored by the British Film Institute, stars the sultry Anna May Wong in her greatest role.  (Milestone Films)
Quai des Orfèvres [re-release];2002;Not Rated;Vog Film Company;1 h 46 m;False;89;7.5;10;6.0;Crime, Drama;Henri-Georges Clouzot;Stanislas-André Steeman, Jean Ferry, Henri-Georges Clouzot;"Brilliantly transforming a classic whodunit plot, Gallic Master of Suspense Henri-Georges Clouzot takes us from the wings and dressing rooms of the Parisian music hall and circus worlds to the drab, airless corridors and holding cells of the Quai's Criminal Investigations Department, in a blend of social realism and psychological cruelty that became his trademark. One of the uncontested masterpieces of the postwar French cinema, but rarely seen here since its original 1947 U.S. release (as ""Jenny Lamour"").  (Film Forum)."
High Noon;1952;PG;United Artists;1 h 25 m;False;89;8.4;7;89.0;Drama, Thriller, Western;Fred Zinnemann;Carl Foreman, John W. Cunningham;This classic 1952 Western stars Gary Cooper as just-married lawman Will Kane, who is about to retire as a small-town sheriff and begin a new life with his bride (Grace Kelly) when he learns that gunslinger Frank Miller (Ian MacDonald) is due to arrive at high noon to settle an old score.
Rebel Without a Cause;1955;Approved;Warner Bros.;1 h 51 m;True;89;7.6;19;55.0;Drama;Nicholas Ray;Stewart Stern, Irving Shulman, Nicholas Ray;A rebellious young man (James Dean) with a troubled past comes to a new town, finding friends and enemies.
The Quiet Girl;2022;PG-13;DECAL;1 h 35 m;True;89;8.0;29;65.0;Drama;Colm Bairéad;Claire Keegan, Colm Bairéad;Rural Ireland. 1981. Nine-year-old Cait is sent away from her overcrowded, dysfunctional family to live with foster parents for the summer. Quietly struggling at school and at home, she has learned to hide in plain sight from those around her. She blossoms in their care, but in this house where there are meant to be no secrets, she discovers one painful truth..
Letters from Iwo Jima;2006;R;Warner Bros.;2 h 21 m;True;89;8.2;37;206.0;Action, Adventure, Drama, History, War;Clint Eastwood;Iris Yamashita, Paul Haggis, Tadamichi Kuribayashi, Tsuyoko Yoshido;"In this companion piece to ""Flags of Our Fathers,"" Clint Eastwood presents the untold story of the Japanese soldiers and their general who 61 years ago defended against the invading American forces on the island of Iwo Jima.  (Warner Bros.)"
The Seventh Continent (1989);;;Kino Video;1 h 48 m;False;89;tbd;7;;Drama;Michael Haneke;Johanna Teicht, Michael Haneke;A European family who plan on escaping to Australia, seem caught up in their daily routine, only troubled by minor incidents. However, behind their apparent calm and repetitive existence, they are actually planning something sinister.
A Woman Under the Influence;1974;R;Faces International;2 h 35 m;True;88;7.7;16;25.0;Drama, Romance;John Cassavetes;John Cassavetes;Mabel, a wife and mother, is loved by her husband Nick but her mental illness proves to be a problem in the marriage.
Anomalisa;2015;R;Paramount Pictures;1 h 30 m;True;88;7.5;46;333.0;Animation, Comedy, Drama, Romance;Duke Johnson, Charlie Kaufman;;Michael Stone, an author of books on the subject of customer service, struggles to connect with people. One night, while on a routine business trip, he meets Lisa, a stranger with a unique voice.
I'm Going Home;2002;Not Rated;Milestone Film & Video;1 h 30 m;True;88;7.8;21;;Comedy, Drama;Manoel de Oliveira;Eugène Ionesco, Jacques Parsi, William Shakespeare, James Joyce, Manoel de Oliveira;The story of an aging French actor who - after learning his family has been killed in an accident - still carries on with his career, enjoys his morning espresso and newspaper, appreciates the endless beauty that is Paris, and takes a stand against the philistinism that plagues his professional life. [Film Forum]
Show Boat;1936;Approved;Universal Pictures;1 h 53 m;False;88;tbd;10;;Comedy, Drama, Musical, Romance;James Whale;Edna Ferber, Oscar Hammerstein II, Zoe Akins;Despite her mother's objections, the naive young daughter of a show boat captain is thrust into the limelight as the company's new leading lady.
The Arbor;2011;Unrated;Strand Releasing;1 h 34 m;False;88;7.6;10;12.0;Documentary, Biography, Drama;Clio Barnard;;Instead of making a conventional documentary or adapting Dunbar’s play The Arbor for the screen, director Clio Barnard has crafted a truly unique work that transcends genre and defies categorization. Following two years conducting audio interviews with Dunbar’s family, friends and neighbors, Barnard filmed actors lip-synching the interviews, flawlessly interpreting every breath, tick and nuance. The film focuses in particular on the playwright’s troubled relationship with her daughter Lorraine who was just 10 when her mother died. Barnard re-introduces Lorraine to her mother’s play and private letters, prompting her to reflect on the extraordinary parallels between their lives. Interwoven with these interviews are staged scenes of Dunbar’s play filmed on The Arbor, the street where she lived. (Strand Releasing).
Long Day's Journey Into Night;2019;Not Rated;Kino Lorber;2 h 18 m;True;88;7.1;23;40.0;Drama, Mystery, Romance;Bi Gan;Bi Gan;Bi Gan follows up his knockout debut, Kaili Blues, with this noir-tinged stunner about a lost soul (Jue Huang) on a quest to find a missing woman from his past (Wei Tang). Following leads across Guizhou province, he crosses paths with a series of colorful characters, among them a prickly hairdresser played by Taiwanese superstar Sylvia Chang. When the search leads him to a dingy movie theater, the film launches into an hour-long, gravity-defying 3D sequence shot that plunges its protagonist—and us—into a labyrinthine cityscape. {Kino Lober].
Three Minutes: A Lengthening;2022;PG;Neon;1 h 9 m;True;88;6.7;18;9.0;Documentary, History, War;Bianca Stigter;Glenn Kurtz, Bianca Stigter;So long as we are watching history, history is not over.  Three minutes of footage, shot by David Kurtz in 1938, are the only moving images remaining of the Jewish inhabitants of Nasielsk, Poland before the Holocaust.  Three Minutes: A Lengthening explores the human stories hidden within the celluloid. [Super LTD]
Richard III;1956;Not Rated;Lopert Pictures Corporation;2 h 41 m;False;88;tbd;11;;Biography, Drama, History, War;Laurence Olivier;William Shakespeare, David Garrick, Colley Cibber, Laurence Olivier;Shakespeare's powerful tale of the wicked deformed King and his conquests, both on the battlefield and in the boudoir.
Democrats;2015;;NHK BS1;1 h 40 m;False;88;tbd;8;;Documentary;Camilla Nielsson;Peter Tygesen;In politically unstable Zimbabwe, a new constitution is being put together by the ruling party of strongman Robert Mugabe and the divided opposition. Various political, local and personal interests are bogging the process down.
The Lion King;1994;G;Buena Vista Pictures Distribution;1 h 28 m;True;88;8.7;30;943.0;Animation, Adventure, Drama, Family, Musical;Roger Allers, Rob Minkoff;Irene Mecchi, Jonathan Roberts, Linda Woolverton, Burny Mattinson, Barry Johnson, Lorna Cook, Thom Enriquez, Andy Gaskill, Kirk Wise, Noni White, Christopher Vogler, Bob Tzudiker, Larry Leker, Miguel Tejada-Flores, George Scribner;"Embark on an extraordinary coming-of-age adventure as Simba, a lion cub who cannot wait to be king, searches for his destiny in the great ""Circle of Life."" [Disney]"
4 Little Girls;1997;TV-14;HBO Max;1 h 42 m;True;88;7.2;16;11.0;Documentary, History;Spike Lee;;On September 15, 1963, a bomb destroyed a black church in Birmingham, Alabama, killing four young girls who were there for Sunday school. It was a crime that shocked the nation -- and a defining moment in the history of America's civil-rights movement. Now, acclaimed filmmaker Spike Lee tells the full story of the bombing, through heart-wrenching testimonials from surviving members of the victims' families, insights from Bill Cosby, Walter Cronkite, Andrew Young, Coretta Scott King and many others, and a rare and revealing interview with former Alabama Governor George Wallace.  [HBO Documentary Films].
Wild Strawberries;1959;Not Rated;Janus Films;1 h 31 m;True;88;8.1;17;27.0;Drama, Romance;Ingmar Bergman;Ingmar Bergman;After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.
Ear for Eye;2023;;The Criterion Channel;1 h 28 m;False;88;tbd;7;;Drama;Debbie Tucker Green;Debbie Tucker Green;British and American Black characters of different generations navigate their way through today's society, offering a critical perspective on the state of the nation.
Crime + Punishment;2018;;Hulu;1 h 52 m;False;88;tbd;10;;Documentary;Stephen T. Maing;;Amidst a landmark class action lawsuit over illegal policing quotas, Crime + Punishment chronicles the real lives and struggles of a group of black and Latino whistleblower cops and the young minorities they are pressured to arrest and summons in New York City. A highly intimate and cinematic experience with unprecedented access, Crime + Punishment examines the United States' most powerful police department through the brave efforts of a group of active duty officers and one unforgettable private investigator who risk their careers and safety to bring light to harmful policing practices which have plagued the precincts and streets of New York City for decades..
The Seventh Seal;1958;Not Rated;Janus Films;1 h 36 m;True;88;8.4;15;51.0;Drama, Fantasy;Ingmar Bergman;Ingmar Bergman;A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.
How Green Was My Valley;1941;Approved;Twentieth Century Fox;1 h 58 m;True;88;6.6;17;9.0;Drama, Family;John Ford;Philip Dunne, Richard Llewellyn;At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.
Azor;2021;;MUBI;1 h 40 m;True;88;6.6;16;9.0;Drama, Thriller;Andreas Fontana;Mariano Llinás, Andreas Fontana;Yvan De Wiel, a private banker from Geneva, goes to Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight.
Paddington 2;2018;PG;Warner Bros.;1 h 43 m;True;88;8.3;38;349.0;Adventure, Comedy, Family, Fantasy;Paul King;Simon Farnaby, Michael Bond, Mark Burton, Jon Croker, Will Smith, Simon Stephenson, Paul King;Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.
The Little Mermaid;1989;G;Buena Vista Pictures Distribution;1 h 23 m;True;88;7.5;24;311.0;Animation, Adventure, Family, Fantasy, Musical, Romance;Ron Clements, John Musker;Hans Christian Andersen, Howard Ashman, Gerrit Graham, Sam Graham, Chris Hubbell, John Musker, Ron Clements;A mermaid princess makes a Faustian bargain with an unscrupulous sea-witch in order to meet a human prince on land.
