"year";"rating";"duration";"must_see";"metascore";"user_score";"number_critics";"number_users";"genre_drama";"genre_crime";"genre_mystery";"genre_romance";"genre_adventure";"genre_biography";"genre_thriller";"genre_comedy";"genre_history";"genre_documentary";"genre_others"
1940;6;3;1;96;82;18;136;0;0;0;0;0;0;0;0;0;0;1
1991;1;0;1;95;83;22;392;0;0;0;1;0;0;0;0;0;0;1
2020;5;0;1;95;60;27;60;1;0;0;0;0;0;0;0;1;0;0
1935;6;0;1;95;78;16;48;1;0;0;0;0;0;0;0;0;0;1
1973;4;2;1;95;69;27;38;1;0;1;0;0;0;1;0;0;0;1
1964;6;3;1;95;75;15;54;1;0;0;1;0;0;0;0;0;0;1
2019;4;3;1;95;84;48;384;1;0;0;1;0;0;0;0;0;0;0
2016;3;1;1;95;53;36;205;0;0;0;0;0;0;0;0;1;1;0
1970;4;3;0;95;79;9;9;0;0;0;0;0;0;0;0;1;1;1
2022;4;1;1;95;80;46;196;1;0;0;0;0;0;0;0;0;0;0
2021;5;1;1;95;68;15;46;1;0;0;0;0;0;0;0;0;0;0
2012;3;3;1;95;81;45;359;1;0;0;0;0;0;0;0;0;0;0
2009;4;3;1;95;76;37;964;1;0;0;0;0;0;1;0;0;0;1
1959;6;3;1;95;82;15;37;1;0;1;0;0;0;0;0;0;0;0
1994;4;3;1;95;90;27;3;1;1;0;0;0;0;0;0;0;0;0
2012;4;3;1;95;70;46;1;1;0;0;0;0;0;1;0;1;0;0
2024;0;3;1;95;58;20;5;0;0;0;0;0;0;0;1;0;0;0
2020;0;2;1;95;76;24;61;0;1;0;0;0;0;0;0;0;1;0
2011;3;3;1;95;87;41;788;1;0;0;0;0;0;0;0;0;0;0
1944;6;2;1;95;86;18;87;1;1;1;0;0;0;1;0;0;0;1
1927;6;1;1;95;73;19;6;1;0;0;1;0;0;0;0;0;0;0
1961;0;3;0;95;84;13;79;1;0;0;0;0;0;0;1;0;0;0
1993;5;3;1;95;87;30;1;1;0;0;0;0;1;0;0;1;0;0
2008;1;1;1;95;87;39;1;0;0;0;0;1;0;0;0;0;0;1
2015;4;2;1;94;79;45;724;1;0;0;1;0;0;0;0;0;0;0
2013;4;2;1;94;83;41;596;1;0;0;1;0;0;0;0;0;0;0
2018;1;0;1;94;81;28;37;0;0;0;0;0;0;0;0;0;1;1
2017;3;2;1;94;82;53;3;1;0;0;0;0;0;1;0;1;0;1
1962;6;3;0;94;85;10;64;1;0;0;0;0;0;0;0;0;0;1
1956;6;2;1;94;78;15;63;1;0;0;0;1;0;0;0;0;0;1
2015;4;1;1;94;73;36;187;1;0;0;1;0;0;0;0;0;0;0
